Sample in Buffer,Sample in Window,TRIGGER,openmips0/id0/pc_plus_4[31:0],openmips0/id0/reg1_o[31:0],openmips0/pc_reg0/new_pc[31:0],openmips0/pc_reg0/branch_target_address_i[31:0],inst[31:0],inst_addr[31:0],ram_data_i[31:0],ram_addr[31:0],ram_sel[3:0],ram_data_o[31:0],mmu_memory_version1/directUart/ext_uart_rx[7:0],mmu_memory_version1/directUart/ext_uart_tx[7:0],openmips0/pc_reg0/branch_flag_i,u_ila_0_ext_uart_busy,u_ila_0_ext_uart_ready,pause_signal,ram_we
0,0,0,80001600,bfd00000,00000000,00000000,31080002,80001600,00000001,00000000,f,00000000,80,07,0,0,0,0,0
1,1,0,80001604,8f900000,00000000,00000000,15000003,80001604,00000001,00000000,f,00000000,80,07,0,0,0,0,0
2,2,0,80001604,00000001,00000000,00000000,15000003,80001604,00000001,bfd003fc,1,00000000,80,07,0,0,0,0,0
3,3,0,80001608,00000000,00000000,00000000,00000000,80001608,00000001,00000000,f,00000000,80,07,0,0,0,0,0
4,4,0,8000160c,00000000,00000000,00000000,0800057f,8000160c,00000001,00000000,f,00000000,80,07,0,0,0,0,0
5,5,0,80001610,00000000,00000000,800015fc,00000000,80001610,00000001,00000000,f,00000000,80,07,1,0,0,0,0
6,6,0,80001614,00000000,00000000,00000000,812803fc,800015fc,00000001,00000000,f,00000000,80,07,0,0,0,0,0
7,7,0,80001600,bfd00000,00000000,00000000,31080002,80001600,00000001,00000000,f,00000000,80,07,0,0,0,0,0
8,8,0,80001604,8f900000,00000000,00000000,15000003,80001604,00000001,00000000,f,00000000,80,07,0,0,0,0,0
9,9,0,80001604,00000001,00000000,00000000,15000003,80001604,00000001,bfd003fc,1,00000000,80,07,0,0,0,0,0
10,10,0,80001608,00000000,00000000,00000000,00000000,80001608,00000001,00000000,f,00000000,80,07,0,0,0,0,0
11,11,0,8000160c,00000000,00000000,00000000,0800057f,8000160c,00000001,00000000,f,00000000,80,07,0,0,0,0,0
